Cristiano Ronaldo dos Santos Aveiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Maurice Deville can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Wheeler can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sven Kreyer can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ignacio Herrera can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mickaël Diakota can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kevin van Veen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dêniro Rubens Prestes Cadete can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cristian Alberto Tarragona can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dillson Robson Teixeiro Loto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
都仓 贤 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
朱建荣 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Philipp Hoffmann can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mychell Ruan Da Silva Chagas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pablo Bueno can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Milan Đurić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sebastiano Esposito can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adam Idah can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrés Perea can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Danylo Sikan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leon Dajaku can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eric Junior Dina Ebimbe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
임재혁 Jae Hyeok Lim can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Valentín Burgoa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Manasse Mampala can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michael Obafemi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oliver Shaw can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Haroune Camara can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Facundo Colidio can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Braian Ojeda can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kouadio Manu Koné can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Salih Kavrazlı can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Justin Lonwijk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Maicol Giovanny Medina Medina can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kazaiah Sterling can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brandon Vazquez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bismark Ngissah can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mason Toye can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eduardo Aguirre can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sterling Yatéké can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leandro Fernandes Cardoso can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcus Forss can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Herman Moussaki can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mihai Neicuțescu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
